ID_Fuente,Fuente,ID_Dato ,Categoria,Descripción Fuente,Descarga Link,Descripción información,Email Contacto,Cobertura,Sitio Web,Link API,Especificaciones API,Descarga FTP,Descarga XML,Comentario,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Categorias
7,Mayorista10,22,Alimentacion y Medicamentos,Sitio oficial supermercados Mayorista 10,,Puntos georreferenciados de los locales (en google maps),,"RM, IV, V, VI, VII, VIII, IX, X, XIV, XVI Regiones",https://www.mayorista10.cl/locales/,,,,,"Búsqueda de locales por Región, Comuna",,,,,,,,,,
7,Mayorista10,23,Alimentacion y Medicamentos,Sitio oficial supermercados Mayorista 10,,Direcciones,,"RM, IV, V, VI, VII, VIII, IX, X, XIV, XVI Regiones",https://www.mayorista10.cl/locales/,,,,,Aparece listado de locales con direcciones,,,,,,,,,,
7,Mayorista10,24,Alimentacion y Medicamentos,Sitio oficial supermercados Mayorista 10,,Horarios de atención,,"RM, IV, V, VI, VII, VIII, IX, X, XIV, XVI Regiones",https://www.mayorista10.cl/locales/,,,,,Aparece listado de locales con horarios,,,,,,,,,,
8,OK Market,25,Alimentacion y Medicamentos,Sitio oficial tiendas de conveniencia OK Market,,Puntos georreferenciados de los locales (en google maps),,"RM, V y VIII Regiones",https://www.okmarket.cl/locales-okmarket/,,,,,"Búsqueda de locales por Región, Comuna",,,,,,,,,,
8,OK Market,26,Alimentacion y Medicamentos,Sitio oficial tiendas de conveniencia OK Market,,Direcciones,,"RM, V y VIII Regiones",https://www.okmarket.cl/locales-okmarket/,,,,,Aparece listado de locales con direcciones,,,,,,,,,,
8,OK Market,27,Alimentacion y Medicamentos,Sitio oficial tiendas de conveniencia OK Market,,Horarios de atención,,"RM, V y VIII Regiones",https://www.okmarket.cl/locales-okmarket/,,,,,Aparece listado de locales con horarios,,,,,,,,,,
9,Montserrat,28,Alimentacion y Medicamentos,Sitio oficial supermercados Montserrat,,Puntos georreferenciados de los locales (en google maps),,RM y V Región,http://www.montserrat.cl/locales-y-horarios/,,,,,"Se ven los puntos, pero tira un error el google maps, se ve oscuro el mapa",,,,,,,,,,
9,Montserrat,29,Alimentacion y Medicamentos,Sitio oficial supermercados Montserrat,,Direcciones,,RM y V Región,http://www.montserrat.cl/locales-y-horarios/,,,,,Aparece detalle con dirección cuando se selecciona un local,,,,,,,,,,
9,Montserrat,30,Alimentacion y Medicamentos,Sitio oficial supermercados Montserrat,,Horarios de atención,,RM y V Región,http://www.montserrat.cl/locales-y-horarios/,,,,,Aparece detalle con horario cuando se selecciona un local,,,,,,,,,,
9,Montserrat,31,Alimentacion y Medicamentos,Sitio oficial supermercados Montserrat,,Aviso especial: cambio horarios,,RM y V Región,http://www.montserrat.cl/,,,,,Aparece en las notificaciones que se deslizan,,,,,,,,,,
10,Cugat,32,Alimentacion y Medicamentos,Sitio oficial supermercados Cugat,,Listado de locales,,"VI, VII, VIII, IX, X y XVI Regiones",https://www.cugat.cl/es/sucursales,,,,,Listado de todos locales,,,,,,,,,,
10,Cugat,33,Alimentacion y Medicamentos,Sitio oficial supermercados Cugat,,Direcciones,,"VI, VII, VIII, IX, X y XVI Regiones",https://www.cugat.cl/es/sucursales,,,,,Detalle de dirección,,,,,,,,,,
10,Cugat,34,Alimentacion y Medicamentos,Sitio oficial supermercados Cugat,,Horarios de atención,,"VI, VII, VIII, IX, X y XVI Regiones",https://www.cugat.cl/es/sucursales,,,,,Detalle de horario,,,,,,,,,,
10,Cugat,35,Alimentacion y Medicamentos,Sitio oficial supermercados Cugat,,Aviso especial: cambio horarios,,"VI, VII, VIII, IX, X y XVI Regiones",https://www.cugat.cl/,,,,,Aparece en las notificaciones que se deslizan,,,,,,,,,,
11,Supermercado Unico,36,Alimentacion y Medicamentos,Sitio oficial supermercados Unico,,Puntos georreferenciados de los locales (en google maps),,VIII y IX Regiones,https://www.supermercadounico.cl/Locales/,,,,,Listado de todos locales,,,,,,,,,,
11,Supermercado Unico,37,Alimentacion y Medicamentos,Sitio oficial supermercados Unico,,Direcciones,,VIII y IX Regiones,https://www.supermercadounico.cl/Locales/,,,,,Detalle de dirección,,,,,,,,,,
11,Supermercado Unico,38,Alimentacion y Medicamentos,Sitio oficial supermercados Unico,,Horarios de atención,,VIII y IX Regiones,https://www.supermercadounico.cl/Locales/,,,,,Detalle de horario,,,,,,,,,,
11,Supermercado Unico,39,Alimentacion y Medicamentos,Sitio oficial supermercados Unico,,Aviso especial: cambio horarios,,VIII y IX Regiones,https://www.supermercadounico.cl/,,,,,Aparece en las notificaciones que se deslizan,,,,,,,,,,
12,Supermercados Romanini,40,Alimentacion y Medicamentos,Sitio oficial supermercados Romanini,,Listado direcciones de locales ,,RM,http://www.romaninigainza.tie.cl/,,,,,Listado de locales con dirección,,,,,,,,,,
13,Mayorista La Oferta,41,Alimentacion y Medicamentos,Sitio oficial supermercados Mayorista La Oferta,,Puntos georreferenciados de los locales (en google maps),,RM,https://www.laoferta.cl/locales.html,,,,,Mapa para cada local del listado,,,,,,,,,,
13,Mayorista La Oferta,42,Alimentacion y Medicamentos,Sitio oficial supermercados Mayorista La Oferta,,Direcciones,,RM,https://www.laoferta.cl/locales.html,,,,,Detalle de dirección,,,,,,,,,,
13,Mayorista La Oferta,43,Alimentacion y Medicamentos,Sitio oficial supermercados Mayorista La Oferta,,Horarios de atención,,RM,https://www.laoferta.cl/locales.html,,,,,Detalle de horario,,,,,,,,,,
14,La Colchagüina Supermercado,44,Alimentacion y Medicamentos,Sitio oficial supermercados La Colchagüina,,Dirección y cambio horario cierre,sac@lacolchaguina.cl,Santa Cruz,http://www.lacolchaguina.cl/,,,,,Es solo un local,,,,,,,,,,
15,La Colchagüina Mayorista,45,Alimentacion y Medicamentos,Sitio oficial supermercados La Colchagüina,,Cambio horario cierre,sac@lacolchaguina.cl,Santa Cruz,http://www.lacolchaguina.cl/,,,,,Hablan del Mayorista (tiene hasta otro logo) pero no encontré la dirección en el sitio web.,,,,,,,,,,
