ID_Fuente,Fuente,ID_Dato ,Categoria,Descripción Fuente,Descarga Link,Descripción información,Email Contacto,Cobertura,Sitio Web,Link API,Especificaciones API,Descarga FTP,Descarga XML,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Categorias
2,Red Salud Valparaiso,18,,direccion en google maps,,link google map urgencia red salud Valparaiso,,nacional,"https://www.google.cl/maps/place/Cl%C3%ADnica+RedSalud+Valpara%C3%ADso+-+Servicios+de+Urgencia/@-33.0456161,-71.6144765,17z/data=!4m12!1m6!3m5!1s0x9689e0da6f62a379:0x8d7bf03c4bc84a8b!2sCl%C3%ADnica+RedSalud+Valpara%C3%ADso+-+Servicios+de+Urgencia!8m2!3d-33.0456161!4d-71.6122878!3m4!1s0x9689e0da6f62a379:0x8d7bf03c4bc84a8b!8m2!3d-33.0456161!4d-71.6122878?hl=es",,,,,,,,,,,,,,,
2,Red Salud Rancagua,19,,direccion en google maps,,link google map urgencia red salud Rancagua,,nacional,"https://www.google.cl/maps/place/Cl%C3%ADnica+RedSalud+Rancagua+-+Servicios+de+Urgencia/@-34.1653413,-70.7453174,17z/data=!3m1!4b1!4m5!3m4!1s0x96634314852e1ecb:0x6125b36bcd2a0cb2!8m2!3d-34.1653413!4d-70.7431287?hl=es",,,,,,,,,,,,,,,
2,Red Salud Temuco,20,,direccion en google maps,,link google map urgencia red salud Temuco,,nacional,"https://www.google.cl/maps/place/Clinica+RedSalud+Mayor+de+Temuco+-+Servicios+de+Urgencia/@-38.73,-72.6293973,17z/data=!3m1!4b1!4m5!3m4!1s0x9614d54fd3031fb5:0xb4bd7a18e104cbf6!8m2!3d-38.73!4d-72.6272086?hl=es",,,,,,,,,,,,,,,
2,Red Salud Magallanes,21,,direccion en google maps,,link google map urgencia red salud Magallanes,,nacional,"https://www.google.cl/maps/place/Luis+Miguel+Burgos+Sanhueza/@-53.1367274,-70.8884594,18z/data=!3m1!4b1!4m5!3m4!1s0xbdb2646c3776b391:0x3a46cb152f30d029!8m2!3d-53.1367274!4d-70.8873651?hl=es",,,,,,,,,,,,,,,
3,Clinica davila,22,,Protocolo de atencion en crisi covid-19,,Informacion de protocolo de atencion a pancientes en epoca de covid-19,,nacional,http://www.davila.cl/blog/nos-organizamos-de-una-nueva-manera-para-atenderte-con-seguridad,,,,,,,,,,,,,,,
3,Clinica davila,23,,Horario de visita,,Horario de visita en periodo contingencia de covid-19,,nacional,http://www.davila.cl/blog/horarios-de-visita,,,,,,,,,,,,,,,
3,Clinica davila,24,,Plan de contingencia covid-19,,informacion plan de contingencia de la por covid-19,,nacional,http://www.davila.cl/blog/plan-de-contingencia-covid-19,,,,,,,,,,,,,,,
3,clinica davila,25,,direccion en google maps,,link de google maps como llegar a clinica davila,,nacional,"https://www.google.com/maps/dir/-33.42078,-70.5621901/clinica+davila/@-33.4169311,-70.6397878,13z/data=!3m1!4b1!4m9!4m8!1m1!4e1!1m5!1m1!1s0x9662c59615b68abf:0xe224662bd7c1730e!2m2!1d-70.6468095!2d-33.4275246",,,,,,,,,,,,,,,
4,Clinica indisa,26,,Medidas preventivas de covid-19 clinica indisa,,"Informacion de horarios de visita, suspencion de procedimientos, atenciones de urgencia",,nacional,https://www.indisa.cl/indisaweb/noticias/medidas-preventivas.html?bt=slider,,,,,,,,,,,,,,,
4,Clinica indisa,27,,"Como llegar, telefono y direccion",,"Como llegar link a google maps, telefono y direccion",,nacional,https://www.indisa.cl/indisaweb/clinica/ubicacion.html,,,,,,,,,,,,,,,
4,Clinica indisa,28,,direccion en google maps,,link de google maps como llegar a clinica indisa,,nacional,"https://www.google.com/maps/place/Cl%C3%ADnica+Indisa/@-33.4214054,-70.6206614,17z/data=!4m12!1m6!3m5!1s0x9662c5ce221cc959:0x33a7ed6787d646c5!2sCl%C3%ADnica+Indisa!8m2!3d-33.4214099!4d-70.6184727!3m4!1s0x9662c5ce221cc959:0x33a7ed6787d646c5!8m2!3d-33.4214099!4d-70.6184727",,,,,,,,,,,,,,,
5,Clinica las condes,29,,TEST DE SOSPECHA DE CORONAVIRUS,,Test interactivo para personas que sospechen tener coronavirus,,nacional,https://www.clinicalascondes.cl/INFORMACION-AL-PACIENTE/autotest-coronavirus,,,,,,,,,,,,,,,
5,Clinica las condes,30,,HORARIOS DE CONSULTAS EN EPOCA DE CORONAVIRUS,,Horario de atencion de todas la areas de clinica y Recomendaciones para asistir a la clinica,,nacional,https://www.clinicalascondes.cl/BLOG/Listado/coronavirus/horarios-consultas-por-covid19,,,,,,,,,,,,,,,
5,Clinica las condes,31,,Link de informacion de las sedes,,Informacion de sedes de clinica,,nacional,https://www.clinicalascondes.cl/QUIENES-SOMOS/Conozca-CLC/Sedes,,,,,,,,,,,,,,,
5,Clinica las condes Estoril,32,,direccion en google maps,,link de google maps como llegar a clinica las condes estoril,,nacional,"https://www.google.com/maps/place/Urgencia+Cl%C3%ADnica+Las+Condes/@-33.3846174,-70.5324984,17z/data=!3m1!4b1!4m5!3m4!1s0x9662ceab20298743:0xc50c4039c11a9ee0!8m2!3d-33.3846219!4d-70.5303097",,,,,,,,,,,,,,,
6,Red salud UC Christus,33,,"Informacion Urgencia respiratoria, donde ir en caso de sintomas covid-19",,"Informacion de nueva urgencia respiratoria- covid-19, informacion de donde ir segun sintomas por covid-19",,nacional,https://www.ucchristus.cl/blog-salud-uc/articulos/2020/covid-19-nueva-urgencia-respiratoria,,,,,,,,,,,,,,,
6,Red salud UC Christus,34,,Innovador sistema para realizar test de Coronavirus COVID-19,,Informacion sobre nuevo sistema de test covid-19 en el auto,,nacional,https://www.ucchristus.cl/blog-salud-uc/articulos/2020/qu%C3%A9date-en-el-auto-innovador-sistema-para-realizar-test-de-coronavirus-covid-19,,,,,,,,,,,,,,,
6,Red salud UC Christus,35,,link para toma de hora para test covid-19 en el auto ,,link para toma de hora fde examen covid-19 en el auto,,nacional,https://agenda.ucchristus.cl/?area=97bd5208-60d1-4d6c-9d1e-a96e00ddbc15&tipo=especialidad&especialidad=c145f093-5112-4653-b447-ab89012aa707&servicio=67e6b9c5-2785-4254-b1a6-ab89012b0c5b&centro=6bad9b25-d5df-4565-b5fe-a6f701444053,,,,,,,,,,,,,,,
6,Red salud UC Christus,36,,link de ubicaciones de clinicas ,,"en la parte inferior de la pagina se puede ubicar un acceso a ubicaciones y cual es la clinica u hospital de la red uc mas cercana, e informacion de telefonos, direcciones y horarios",,nacional,https://www.ucchristus.cl/,,,,,,,,,,,,,,,
6,"Red salud UC Christus, Marcoleta",37,,direccion en google maps,,link de mapa en google masp para urgencia Red salud UC Christus Marcoleta,,nacional,"https://www.google.cl/maps/place/Marcoleta+352,+Santiago,+Regi%C3%B3n+Metropolitana/@-33.4425976,-70.6422021,17z/data=!4m13!1m7!3m6!1s0x9662c59e6e36278f:0x1a7b244fc2af1457!2sMarcoleta+352,+Santiago,+Regi%C3%B3n+Metropolitana!3b1!8m2!3d-33.4426021!4d-70.6400134!3m4!1s0x9662c59e6e36278f:0x1a7b244fc2af1457!8m2!3d-33.4426021!4d-70.6400134",,,,,,,,,,,,,,,
6,Red salud UC Christus San Carlos de Apoquindo,38,,direccion en google maps,,link de mapa en google masp para urgencia Red salud UC Christus San Carlos de Apoquindo,,nacional,"https://www.google.cl/maps/place/Camino+El+Alba+12351,+Las+Condes,+Regi%C3%B3n+Metropolitana/@-33.400391,-70.5118382,17z/data=!4m13!1m7!3m6!1s0x9662cc166fadfd8d:0xd9af1c04fa7b9585!2sCamino+El+Alba+12351,+Las+Condes,+Regi%C3%B3n+Metropolitana!3b1!8m2!3d-33.4003955!4d-70.5096495!3m4!1s0x9662cc166fadfd8d:0xd9af1c04fa7b9585!8m2!3d-33.4003955!4d-70.5096495",,,,,,,,,,,,,,,
7,Clinica Santa Maria,39,,Plan de contingencia covid-19,,"Plan de contingencia de la clinica en covid19, nueva urgencia respiratoria,  informacion urgencia general, restriccion de visita a pacientes",,nacional,https://www.clinicasantamaria.cl/informate/noticias/detalle/2020/03/16/tu-salud-y-seguridad-es-nuestra-prioridad,,,,,,,,,,,,,,,
7,Clinica Santa Maria,40,,Ubicacion,,"Ubicacion, telefono y direccion ",,nacional,https://www.clinicasantamaria.cl/ubicacion/clinica-santa-maria,,,,,,,,,,,,,,,
7,Clinica Santa Maria,41,,direccion en google maps,,link de mapa en google masp para Clinica Santa Maria,,nacional,"https://www.google.cl/maps/place/Bellavista+0415,+Providencia,+Regi%C3%B3n+Metropolitana/@-33.4323382,-70.6313502,17z/data=!4m13!1m7!3m6!1s0x9662c585f2a0b641:0x460083aead0073b0!2sBellavista+0415,+Providencia,+Regi%C3%B3n+Metropolitana!3b1!8m2!3d-33.4323427!4d-70.6291615!3m4!1s0x9662c585f2a0b641:0x460083aead0073b0!8m2!3d-33.4323427!4d-70.6291615",,,,,,,,,,,,,,,
8,Clinica Vespucio,42,,Plan de contingencia covid-19,,"Informacion de plan de contingencia por covid-19, plan de lugares de atencion, horario de visitas",,nacional,http://www.clinicavespucio.cl/covid-19/plan-de-contingencia-covid-19/,,,,,,,,,,,,,,,
8,Clinica Vespucio,43,,"Como llegar, informacion de contacto",,"ir a la parte inferior de la pagina, estara la informacion de telefono,  horario de atencion y mapa ",,nacional,http://www.clinicavespucio.cl/,,,,,,,,,,,,,,,
8,Clinica Vespucio,44,,direccion en google maps,,link de mapa en google maps para clinica vespucio,,nacional,"https://www.google.com/maps/place/Seraf%C3%ADn+Zamora+190,+La+Florida,+Regi%C3%B3n+Metropolitana/@-33.519033,-70.597068,15z/data=!4m5!3m4!1s0x9662d05e113680f9:0xcde5b8105461225a!8m2!3d-33.5190332!4d-70.5970676?hl=es-ES",,,,,,,,,,,,,,,
9,Clinica cordillera,45,,Protocolos de atencion,,"Informacion de la nueva urgencia respireatoria, informacion de hospitalizacion, horario de atencion",,nacional,https://nuevaclinicacordillera.cl/estamos-preparados/,,,,,,,,,,,,,,,
9,clinica cordillera,46,,Informacion de contacto y direccion,,en la parte inferior de la pagina se encuantran datos de contacto y direccion,,nacional,https://nuevaclinicacordillera.cl/,,,,,,,,,,,,,,,
9,clinica cordillera,47,,direccion en google maps,,link de mapa en google maps para clinica cordillera,,nacional,"https://www.google.cl/maps/place/Alejandro+Fleming+7889,+Las+Condes,+Regi%C3%B3n+Metropolitana/@-33.4250346,-70.5522213,17z/data=!3m1!4b1!4m13!1m7!3m6!1s0x9662ce8b4da9acf1:0xc99bd32f47d06b7f!2sAlejandro+Fleming+7889,+Las+Condes,+Regi%C3%B3n+Metropolitana!3b1!8m2!3d-33.4250391!4d-70.5500326!3m4!1s0x9662ce8b4da9acf1:0xc99bd32f47d06b7f!8m2!3d-33.4250391!4d-70.5500326",,,,,,,,,,,,,,,
10,Hospital clinico Universidad de chile,48,,direccion en google maps,,link de mapa en google maps hospital clinico universidad de chile,,nacional,"https://www.google.com/maps/place/Santos+Dumont+999,+Independencia,+Regi%C3%B3n+Metropolitana/@-33.420032,-70.653148,16z/data=!4m13!1m7!3m6!1s0x9662c5c661119509:0x755aef5bcb60d1d5!2sSantos+Dumont+999,+Independencia,+Regi%C3%B3n+Metropolitana!3b1!8m2!3d-33.4200316!4d-70.6531483!3m4!1s0x9662c5c661119509:0x755aef5bcb60d1d5!8m2!3d-33.4200316!4d-70.6531483?hl=es-ES",,,,,,,,,,,,,,,
11,Clinica Universidad de los andes,49,,direccion en google maps,,link de mapar en google maps de clinica universidad de los andes,,nacional,"https://www.google.com/maps/place/Av+Plaza+2501,+Las+Condes,+Regi%C3%B3n+Metropolitana/@-33.4056276,-70.5064013,17z/data=!4m13!1m7!3m6!1s0x9662cc3e6da40781:0xa932a60d30ed81e9!2sAv+Plaza+2501,+Las+Condes,+Regi%C3%B3n+Metropolitana!3b1!8m2!3d-33.4056276!4d-70.5042126!3m4!1s0x9662cc3e6da40781:0xa932a60d30ed81e9!8m2!3d-33.4056276!4d-70.5042126",,,,,,,,,,,,,,,
12,Clinica San Agustin Melipilla,50,,Informacion que tienen sobre covd-19,,informacion que entregan del covid-19,,nacional,http://www.saludsanagustin.cl/2020/03/23/comunicado-covid-19/,,,,,,,,,,,,,,,
12,Clinica San Agustin Melipilla,51,,"Informacion de horario de atencion, ubicacion y telefonos",,"Entrega informacion de horario de atencion, ubicacio y telefonos",,nacional,http://www.saludsanagustin.cl/horarios-de-atencion/,,,,,,,,,,,,,,,
12,Clinica San Agustin Melipilla,52,,direccion en google maps,,Link de mapa google maps Clinica San Agustin Melipilla,,nacional,"https://www.google.cl/maps/place/San+Agust%C3%ADn+473,+Melipilla,+Regi%C3%B3n+Metropolitana/@-33.6863421,-71.215507,17z/data=!4m13!1m7!3m6!1s0x966255ead5053e2d:0x54d44c62ce2f89f4!2sSan+Agust%C3%ADn+473,+Melipilla,+Regi%C3%B3n+Metropolitana!3b1!8m2!3d-33.6863466!4d-71.2133183!3m4!1s0x966255ead5053e2d:0x54d44c62ce2f89f4!8m2!3d-33.6863466!4d-71.2133183",,,,,,,,,,,,,,,
13,Clinica San Jose Arica,53,,Informacion de la clinica sobre covid-19,,informacion en pagina de clinica sobre covid-19,,nacional,https://www.clinicasanjose.cl/clinica_sanjose/cuidemonos-y-evitemos-el-contagio-del-covid-19,,,,,,,,,,,,,,,
13,Clinica San Jose Arica,54,,direccion en google maps,,link de mapa google maps clinica san jose arica,,nacional,"https://www.google.com/maps/place/Cl%C3%ADnica+San+Jos%C3%A9+de+Arica/@-18.4832535,-70.3088961,17z/data=!4m12!1m6!3m5!1s0x915aa9c732db2a93:0x35140a069b7916c7!2sCl%C3%ADnica+San+Jos%C3%A9+de+Arica!8m2!3d-18.4832586!4d-70.3067074!3m4!1s0x915aa9c732db2a93:0x35140a069b7916c7!8m2!3d-18.4832586!4d-70.3067074",,,,,,,,,,,,,,,
14,Clinica Fleming Arica,55,,Informacion de contacto y direccion,,informacion de contacto y telefono,,nacional,http://www.clinicaflemingarica.cl/contactenos/,,,,,,,,,,,,,,,
14,Clinica Fleming Arica,56,,direccion en google maps,,link de google maps de unicacion clinica fleming arica,,nacional,"https://www.google.com/maps/place/Clinica+Fleming+Arica/@-18.4694013,-70.3032371,17z/data=!4m12!1m6!3m5!1s0x915aa9bab9b9f3b7:0xe4128db4588d9b5e!2sClinica+Fleming+Arica!8m2!3d-18.4694064!4d-70.3010484!3m4!1s0x915aa9bab9b9f3b7:0xe4128db4588d9b5e!8m2!3d-18.4694064!4d-70.3010484",,,,,,,,,,,,,,,
15,Clinica Antofagasta,57,,direccion en google maps,,link de google maps de ubicacion clinica antofagasta,,nacional,"https://www.google.com/maps/place/Cl%C3%ADnica+Antofagasta/@-23.6539255,-70.4038451,17z/data=!4m12!1m6!3m5!1s0x96afd513d8be88db:0xe892ffee66a8ae83!2sCl%C3%ADnica+Antofagasta!8m2!3d-23.6539304!4d-70.4016564!3m4!1s0x96afd513d8be88db:0xe892ffee66a8ae83!8m2!3d-23.6539304!4d-70.4016564",,,,,,,,,,,,,,,
16,"Clinica el loa, Calama",58,,informacion contacto,,informacion de atencion y telefonos,,nacional,http://www.clinicaelloa.cl/,,,,,,,,,,,,,,,
16,"clinica El Loa, Calama",59,,direccion en google maps,,link de google maps de ubicacion clinica el loa,,nacional,"https://www.google.com/maps/place/Cl%C3%ADnica+El+Loa/@-22.45157,-68.92922,14z/data=!4m12!1m6!3m5!1s0x0:0x15723121a0f592cd!2sCl%C3%ADnica+El+Loa!8m2!3d-22.45157!4d-68.92922!3m4!1s0x0:0x15723121a0f592cd!8m2!3d-22.45157!4d-68.92922?hl=es-ES",,,,,,,,,,,,,,,
17,"Clinica portada, Antofagasta",60,,direccion en google maps,,link de google maps de ubicacion clinica La portada,,nacional,"https://www.google.cl/maps/place/Cl%C3%ADnica+Portada/@-23.6453882,-70.4013479,17z/data=!4m12!1m6!3m5!1s0x96afd53d9ae4e241:0xc0106769dd3158e9!2sCl%C3%ADnica+Portada!8m2!3d-23.6453931!4d-70.3991592!3m4!1s0x96afd53d9ae4e241:0xc0106769dd3158e9!8m2!3d-23.6453931!4d-70.3991592",,,,,,,,,,,,,,,
18,"Clinica Atacama, Copiapo",61,,Informacion de contacto y direccion,,informacion de contacto y telefono,,nacional,http://www.clinicarcratacama.cl/urgencia/,,,,,,,,,,,,,,,
18,"Clinica Atacama, Copiapo",62,,direccion en google maps,,link de google maps de ubicacion clinica atacama,,nacional,"https://www.google.cl/maps/place/Clinica+RCR+Atacama/@-27.3656578,-70.3301985,17z/data=!3m1!4b1!4m12!1m6!3m5!1s0x96980479d6ec9285:0x93b126ad1732ab8b!2sClinica+RCR+Atacama!8m2!3d-27.3656626!4d-70.3280098!3m4!1s0x96980479d6ec9285:0x93b126ad1732ab8b!8m2!3d-27.3656626!4d-70.3280098",,,,,,,,,,,,,,,
19,Clinica Alemana Temuco,63,,Protocolo de visita ,,Protocolo de visitas entregado por la cllinica,,nacional,https://portal.alemana.cl/wps/wcm/connect/temuco/home/landing/protocolo-visitas,,,,,,,,,,,,,,,
19,Clinica Alemana Temuco,64,,Informacion de urgencia respiratoria,,Informacio sobre urgencia respiratoria,,nacional,https://portal.alemana.cl/wps/wcm/connect/temuco/home/landing/urgencia-respiratoria,,,,,,,,,,,,,,,
19,Clinica Alemana Temuco,65,,Hora de atencion y contactos,,"Informacion de horario, telefono y direccion",,nacional,https://portal.alemana.cl/wps/wcm/connect/temuco/home/landing/horarios_cat,,,,,,,,,,,,,,,
19,Clinica Alemana Temuco,66,,direccion en google maps,,link de google maps de ubicacion clinica alemana temuco,,nacional,"https://www.google.cl/maps/place/Cl%C3%ADnica+Alemana+de+Temuco/@-38.7365718,-72.6130177,17z/data=!4m12!1m6!3m5!1s0x9614d3f71cd7c929:0xd187bf1fa4eb5abc!2sCl%C3%ADnica+Alemana+de+Temuco!8m2!3d-38.736576!4d-72.610829!3m4!1s0x9614d3f71cd7c929:0xd187bf1fa4eb5abc!8m2!3d-38.736576!4d-72.610829",,,,,,,,,,,,,,,
20,Clinica Puerto Varas,67,,Informacion protocolo de clinica y telefonos,,Politcas sobre protolo de covid-19 de la clinica y telefonos,,nacional,https://www.clinicapv.cl/emergencia-sanitaria/,,,,,,,,,,,,,,,
20,Clinica Puerto Varas,68,,direccion en google maps,,link de google maps de ubicacion clinica puerto varas,,nacional,"https://www.google.com/maps/place/Clinica+Puerto+Varas/@-41.318755,-72.991339,17z/data=!4m12!1m6!3m5!1s0x0:0x93210833fb1f39b0!2sClinica+Puerto+Varas!8m2!3d-41.3187546!4d-72.9913394!3m4!1s0x0:0x93210833fb1f39b0!8m2!3d-41.3187546!4d-72.9913394?hl=es-ES",,,,,,,,,,,,,,,
21,Clinica Puerto Montt,69,,Informacion de contacto y direccion,,link de pagina para extraer telefono y direccion,,nacional,https://clinpmontt.cl/,,,,,,,,,,,,,,,
21,Clinica Puerto Montt,70,,direccion en google maps,,link de google maps de ubicacion clinica puerto montt,,nacional,"https://www.google.com/maps/place/Calle+Panamericana+Nte.+400,+Puerto+Montt,+Los+Lagos/@-41.4585584,-72.9564104,17z/data=!4m13!1m7!3m6!1s0x96183b04fa10ea87:0x44b75187e54d193e!2sCalle+Panamericana+Nte.+400,+Puerto+Montt,+Los+Lagos!3b1!8m2!3d-41.4585584!4d-72.9542217!3m4!1s0x96183b04fa10ea87:0x44b75187e54d193e!8m2!3d-41.4585584!4d-72.9542217",,,,,,,,,,,,,,,
22,Clinica universitaria Puerto Montt,71,,"Informacion de mapa, telefono",,link de la pagina de informacion de mapa y telefono,,nacional,http://www.cupm.cl/index.php/mapa/,,,,,,,,,,,,,,,
22,Clinica universitaria Puerto Montt,72,,Contacto para covid-19,,Numero y datos para pacientes que crean tener covid-19,,nacional,https://www.cupm.cl/blog/?p=217,,,,,,,,,,,,,,,
22,Clinica universitaria Puerto Montt,73,,direccion en google maps,,link de google maps de ubicacion de clinica universitaria puerto montt,,nacional,"https://www.google.com/maps/place/Cl%C3%ADnica+Universitaria+Puerto+Montt/@-41.477766,-72.913888,16z/data=!4m12!1m6!3m5!1s0x0:0xe432ce1b851b4d24!2sCl%C3%ADnica+Universitaria+Puerto+Montt!8m2!3d-41.477766!4d-72.913888!3m4!1s0x0:0xe432ce1b851b4d24!8m2!3d-41.477766!4d-72.913888?hl=es-ES",,,,,,,,,,,,,,,
23,Clinica Alemana Valdivia,74,,Protocolo de visita de la clinica,,Protocolo de visita clinica,,nacional,https://portal.alemana.cl/wps/wcm/connect/valdivia/home/landing/protocolo-visitas,,,,,,,,,,,,,,,
23,Clinica Alemana Valdivia,75,,Informacion direccion y telefonos,,datos de contacto,,nacional,https://portal.alemana.cl/wps/wcm/connect/valdivia/home/mapa,,,,,,,,,,,,,,,
